calling_file,referenced_path,resolved_absolute_path,status
./frontend/node_modules/next/dist/experimental/testmode/proxy/server.js,./types,MISSING,MISSING
./frontend/node_modules/next/dist/experimental/testmode/proxy/server.js,./fetch-api,MISSING,MISSING
./frontend/node_modules/next/dist/experimental/testmode/proxy/index.js,./server,MISSING,MISSING
./frontend/node_modules/next/dist/experimental/testmode/proxy/fetch-api.js,./types,MISSING,MISSING
./frontend/node_modules/next/dist/experimental/testmode/server.js,./context,MISSING,MISSING
./frontend/node_modules/next/dist/experimental/testmode/server.js,./fetch,MISSING,MISSING
./frontend/node_modules/next/dist/experimental/testmode/server.js,./httpget,MISSING,MISSING
./frontend/node_modules/next/dist/experimental/testmode/httpget.js,next/dist/compiled/@mswjs/interceptors/ClientRequest,OK,OK
./frontend/node_modules/next/dist/experimental/testmode/httpget.js,./fetch,MISSING,MISSING
./frontend/node_modules/next/dist/experimental/testmode/fetch.js,./context,MISSING,MISSING
./frontend/node_modules/next/dist/experimental/testmode/playwright/next-worker-fixture.js,../proxy,MISSING,MISSING
./frontend/node_modules/next/dist/experimental/testmode/playwright/msw.js,./index,MISSING,MISSING
./frontend/node_modules/next/dist/experimental/testmode/playwright/msw.js,msw,OK,OK
./frontend/node_modules/next/dist/experimental/testmode/playwright/msw.js,strict-event-emitter,OK,OK
./frontend/node_modules/next/dist/experimental/testmode/playwright/next-fixture.js,./page-route,MISSING,MISSING
./frontend/node_modules/next/dist/experimental/testmode/playwright/next-fixture.js,./report,MISSING,MISSING
./frontend/node_modules/next/dist/experimental/testmode/playwright/index.js,@playwright/test,OK,OK
./frontend/node_modules/next/dist/experimental/testmode/playwright/index.js,./next-worker-fixture,MISSING,MISSING
./frontend/node_modules/next/dist/experimental/testmode/playwright/index.js,./next-fixture,MISSING,MISSING
./frontend/node_modules/next/dist/experimental/testmode/playwright/report.js,./step,MISSING,MISSING
./frontend/node_modules/next/dist/experimental/testmode/playwright/step.js,@playwright/test,OK,OK
./frontend/node_modules/next/dist/experimental/testmode/server-edge.js,./context,MISSING,MISSING
./frontend/node_modules/next/dist/experimental/testmode/server-edge.js,./fetch,MISSING,MISSING
./frontend/node_modules/next/dist/experimental/testmode/context.js,node:async_hooks,OK,OK
./frontend/node_modules/next/dist/trace/trace.js,./report,MISSING,MISSING
./frontend/node_modules/next/dist/trace/index.js,./trace,MISSING,MISSING
./frontend/node_modules/next/dist/trace/index.js,./shared,MISSING,MISSING
./frontend/node_modules/next/dist/trace/upload-trace.js,child_process,OK,OK
./frontend/node_modules/next/dist/trace/trace.test.js,fs/promises,OK,OK
./frontend/node_modules/next/dist/trace/trace.test.js,path,OK,OK
./frontend/node_modules/next/dist/trace/trace.test.js,os,OK,OK
./frontend/node_modules/next/dist/trace/trace.test.js,./shared,MISSING,MISSING
./frontend/node_modules/next/dist/trace/trace.test.js,./trace,MISSING,MISSING
./frontend/node_modules/next/dist/trace/report/index.js,./to-telemetry,MISSING,MISSING
./frontend/node_modules/next/dist/trace/report/index.js,./to-json,MISSING,MISSING
./frontend/node_modules/next/dist/trace/report/index.test.js,fs/promises,OK,OK
