bms_id,attribute_name,definition,data_type,code_list,class_name,module,layer,cardinality,min_length,max_length,unit_of_measure,status,required,notes,sectors
minimumFeedingAmount,,Minimum Feeding Amount,,not applicable,,,,,,,,,,,"Alcoholic Beverages,Food,Near Food,Pet Food"
recommendedFrequencyOfFeeding,,Feeding Frequency,,not applicable,,,,,,,,,,,"Alcoholic Beverages,Food,Near Food,Pet Food"
areBatteriesIncluded,,Batteries Included Indicator,,not applicable,,,,,,,,,,,"Alcoholic Beverages,Food,Near Food,Pet Food"
areBatteriesRequired,,Batteries Required Indicator,,not applicable,,,,,,,,,,,"Alcoholic Beverages,Food,Near Food,Pet Food"
areBatteriesBuiltIn,,Batteries Built In Indicator,,not applicable,,,,,,,,,,,"Alcoholic Beverages,Food,Near Food,Pet Food"
batteryTechnologyTypeCode,,Battery Material Type Code,,Refer to GDD - BatteryTechnologyTypeCode,,,,,,,,,,,"Alcoholic Beverages,Food,Near Food,Pet Food"
batteryTypeCode,,Battery Size Type Code,,Refer to GDD - BatteryTypeCode,,,,,,,,,,,"Alcoholic Beverages,Food,Near Food,Pet Food"
batteryWeight,,Battery Weight,,not applicable,,,,,,,,,,,"Alcoholic Beverages,Food,Near Food,Pet Food"
quantityOfBatteriesBuiltIn,,Number of Batteries Built In,,not applicable,,,,,,,,,,,"Alcoholic Beverages,Food,Near Food,Pet Food"
quantityOfBatteriesRequired,,Number of Batteries Required,,not applicable,,,,,,,,,,,"Alcoholic Beverages,Food,Near Food,Pet Food"
consumerStorageInstructions,,Consumer Storage Instructions,,not applicable,,,,,,,,,,,"Alcoholic Beverages,Food,Near Food,Pet Food"
consumerUsageInstructions,,Consumer Usage Instructions,,not applicable,,,,,,,,,,,"Alcoholic Beverages,Food,Near Food,Pet Food"
fatInMilkContent,,Percent of Milk Fat In Dairy,,not applicable,,,,,,,,,,,"Alcoholic Beverages,Food,Near Food,Pet Food"
speciesForFisheryStatisticsPurposesName,,Fish Scientific Name,,not applicable,,,,,,,,,,,"Alcoholic Beverages,Food,Near Food,Pet Food"
catchMethodCode,,Fishing Gear Code,,Refer to GDD - CatchMethodCode,,,,,,,,,,,"Alcoholic Beverages,Food,Near Food,Pet Food"
productionMethodForFishAndSeaFoodCode,,Fish Production Method Code,,Refer to GDD - ProductionMethodForFishAndSeaFoodCode,,,,,,,,,,,"Alcoholic Beverages,Food,Near Food,Pet Food"
storageStateCode,,Fish Storage State Code,,Refer to GDD - StorageStateCode,,,,,,,,,,,"Alcoholic Beverages,Food,Near Food,Pet Food"
endAvailabilityDateTime,,End Availability Date/Time,,not applicable,,,,,,,,,,,"Alcoholic Beverages,Food,Near Food,Pet Food"
firstOrderDateTime,,First Order Date/Time,,not applicable,,,,,,,,,,,"Alcoholic Beverages,Food,Near Food,Pet Food"
startAvailabilityDateTime,,First Ship Date/Time,,not applicable,,,,,,,,,,,"Alcoholic Beverages,Food,Near Food,Pet Food"
dietTypeCode,,Dietary Regime Code,,Refer to GDD - DietTypeCode,,,,,,,,,,,"Alcoholic Beverages,Food,Near Food,Pet Food"
dutyFeeTaxTypeCode,,Tax Type Code,,Refer to local code list,,,,,,,,,,,"Alcoholic Beverages,Food,Near Food,Pet Food"
dutyFeeTaxCategoryCode,,Tax Category Code,,TaxCategoryCode,,,,,,,,,,,"Alcoholic Beverages,Food,Near Food,Pet Food"
geneticallyModifiedDeclarationCode,,Genetically Modified Declaration Code,,Refer to GDD - LevelOfContainmentCode,,,,,,,,,,,"Alcoholic Beverages,Food,Near Food,Pet Food"
growingMethodCode,,Growing Method Code,,Refer to GDD - GrowingMethodCode,,,,,,,,,,,"Alcoholic Beverages,Food,Near Food,Pet Food"
ingredientStatement,,Ingredient Statement,,not applicable,,,,,,,,,,,"Alcoholic Beverages,Food,Near Food,Pet Food"
juiceContentPercent,,Percent of Fruit Juice,,not applicable,,,,,,,,,,,"Alcoholic Beverages,Food,Near Food,Pet Food"
additiveName,,Additive Name,,not applicable,,,,,,,,,,,"Alcoholic Beverages,Food,Near Food,Pet Food"
numberOfServingsPerPackage,,Servings Per Product,,not applicable,,,,,,,,,,,"Alcoholic Beverages,Food,Near Food,Pet Food"
numberOfServingsPerPackageMeasurementPrecisionCode,,Servings Per Product Precision Code,,Refer to GDD - MeasurementPrecisionCode,,,,,,,,,,,"Alcoholic Beverages,Food,Near Food,Pet Food"
preparationInstructions,,Preparation Instructions,,not applicable,,,,,,,,,,,"Alcoholic Beverages,Food,Near Food,Pet Food"
preparationTypeCode,,Preparation Type Code,,Refer to GDD - PreparationTypeCode,,,,,,,,,,,"Alcoholic Beverages,Food,Near Food,Pet Food"
servingSuggestion,,Serving Suggestion,,not applicable,,,,,,,,,,,"Alcoholic Beverages,Food,Near Food,Pet Food"
compulsoryAdditiveLabelInformation,,Additional Legal Product Information,,not applicable,,,,,,,,,,,"Alcoholic Beverages,Food,Near Food,Pet Food"
tradeItemFeatureBenefit,,Features and Benefits,,not applicable,,,,,,,,,,,"Alcoholic Beverages,Food,Near Food,Pet Food"
tradeItemMarketingMessage,,Product Marketing Message,,not applicable,,,,,,,,,,,"Alcoholic Beverages,Food,Near Food,Pet Food"
gradeCodeReference,,Product Grade,,not applicable,,,,,,,,,,,"Alcoholic Beverages,Food,Near Food,Pet Food"
tradeItemKeyWords,,Search Key Words for Product,,not applicable,,,,,,,,,,,"Alcoholic Beverages,Food,Near Food,Pet Food"
isTradeItemSeasonal,,Seasonal Product Indicator,,not applicable,,,,,,,,,,,"Alcoholic Beverages,Food,Near Food,Pet Food"
targetConsumerAge,,Target Consumer Age,,not applicable,,,,,,,,,,,"Alcoholic Beverages,Food,Near Food,Pet Food"
nonfoodIngredientStatement,,Non-Food Ingredient Statement,,not applicable,,,,,,,,,,,"Alcoholic Beverages,Food,Near Food,Pet Food"
depth,,Non-GTIN Logistic Unit Depth/Length,,not applicable,,,,,,,,,,,"Alcoholic Beverages,Food,Near Food,Pet Food"
grossWeight,,Non-GTIN Logistic Unit Gross Weight,,not applicable,,,,,,,,,,,"Alcoholic Beverages,Food,Near Food,Pet Food"
height,,Non-GTIN Logistic Unit Height,,not applicable,,,,,,,,,,,"Alcoholic Beverages,Food,Near Food,Pet Food"
logisticsUnitStackingFactor,,Stacking Factor for non-GTIN Pallet,,not applicable,,,,,,,,,,,"Alcoholic Beverages,Food,Near Food,Pet Food"
width,,Non-GTIN Logistic Unit Width,,not applicable,,,,,,,,,,,"Alcoholic Beverages,Food,Near Food,Pet Food"
nutritionalClaim,,Nutritional/Health Claim Description,,not applicable,,,,,,,,,,,"Alcoholic Beverages,Food,Near Food,Pet Food"
