Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Change Information,Unnamed: 10,Unnamed: 11,Unnamed: 12
BMS ID of Linked GDM Global/Regional Attribute,GDD Name of Linked GDM Global/Regional Attribute,GDD Name of Technical Attribute,Technical Attribute is Conditional/ Optional,BMS ID,GDD Name,Attribute Definition (GDD),short xPath,GDSN Technical Attribute,Change Type,WR Number,Detailed Change Information,Release Version
420,maximumFeedingAmount,@measurementUnitCode,Conditional,421,maximumFeedingAmount/@measurementUnitCode,"Any standardized, reproducible unit that can be used to measure any physical property.",animalFeedingModule/animalFeeding/animalFeedingDetail/maximumFeedingAmount/@measurementUnitCode,YES,nan,nan,nan,nan
422,minimumFeedingAmount,@measurementUnitCode,Conditional,423,minimumFeedingAmount/@measurementUnitCode,"Any standardized, reproducible unit that can be used to measure any physical property.",animalFeedingModule/animalFeeding/animalFeedingDetail/minimumFeedingAmount/@measurementUnitCode,YES,nan,nan,nan,nan
424,recommendedFrequencyOfFeeding,@languageCode,Conditional,425,recommendedFrequencyOfFeeding/@languageCode,A code representing the language used in the description.,animalFeedingModule/animalFeeding/animalFeedingDetail/recommendedFrequencyOfFeeding/@languageCode,YES,nan,nan,nan,nan
615,batteryWeight,@measurementUnitCode,Conditional,616,batteryWeight/@measurementUnitCode,"Any standardized, reproducible unit that can be used to measure any physical property.",batteryInformationModule/batteryDetail/batteryWeight/@measurementUnitCode,YES,nan,nan,nan,nan
789,consumerStorageInstructions,@languageCode,Conditional,790,consumerStorageInstructions/@languageCode,A code representing the language used in the description.,consumerInstructionsModule/consumerInstructions/consumerStorageInstructions/@languageCode,YES,nan,nan,nan,nan
791,consumerUsageInstructions,@languageCode,Conditional,792,consumerUsageInstructions/@languageCode,A code representing the language used in the description.,consumerInstructionsModule/consumerInstructions/consumerUsageInstructions/@languageCode,YES,nan,nan,nan,nan
1268,ingredientStatement,@languageCode,Conditional,1269,ingredientStatement/@languageCode,A code representing the language used in the description.,foodAndBeverageIngredientModule/ingredientStatement/@languageCode,YES,nan,nan,nan,nan
1268,ingredientStatement,@codeListVersion,Optional,6429,ingredientStatement/@codeListVersion,The snapshot of the code list at a certain point in time.,foodAndBeverageIngredientModule/ingredientStatement/@codeListVersion,YES,Errata-Add,WR-22-037,"Add missing technical attributes (BMS IDs 6429, 6430, 6431) for attribute Ingredient Statement (BMS ID 1268)",2.2
1268,ingredientStatement,@formattingPattern,Optional,6430,ingredientStatement/@formattingPattern,Ingredient statement for non-food items.,foodAndBeverageIngredientModule/ingredientStatement/@formattingPattern,YES,Errata-Add,WR-22-037,"Add missing technical attributes (BMS IDs 6429, 6430, 6431) for attribute Ingredient Statement (BMS ID 1268)",2.2
1268,ingredientStatement,@sequenceNumber,Conditional,6431,ingredientStatement/@sequenceNumber,A number used to indicate the order in which the allowances or charges are to be calculated.,foodAndBeverageIngredientModule/ingredientStatement/@sequenceNumber,YES,Errata-Add,WR-22-037,"Add missing technical attributes (BMS IDs 6429, 6430, 6431) for attribute Ingredient Statement (BMS ID 1268)",2.2
